Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,78.0,39/50,0,1,0
2,48.0,24/50,0,1,0
3,30.0,15/50,0,0,0
4,56.0,28/50,0,0,0
6,88.0,44/50,0,1,0
8,64.0,32/50,0,1,0
9,34.0,17/50,0,0,0
10,54.0,27/50,0,0,0
11,70.0,35/50,0,1,0
12,78.0,39/50,0,1,0
13,56.0,28/50,0,1,0
14,34.0,17/50,0,0,0
15,56.0,28/50,0,1,0
16,70.0,35/50,0,0,0
17,76.0,38/50,0,1,0
18,22.0,11/50,0,0,0
19,94.0,47/50,0,1,0
20,60.0,30/50,0,1,0
21,12.0,6/50,0,0,0
22,22.0,11/50,0,0,0
23,52.0,26/50,0,1,0
24,38.0,19/50,0,1,0
25,86.0,43/50,0,1,0
26,48.0,24/50,0,1,0
27,46.0,23/50,0,1,0
28,72.0,36/50,0,0,0
29,80.0,40/50,0,1,0
30,14.0,7/50,0,1,0
31,68.0,34/50,0,1,0
32,78.0,39/50,0,0,0
34,42.0,21/50,0,1,0
35,60.0,30/50,0,0,0
36,84.0,42/50,0,1,0
37,34.0,17/50,0,0,0
38,64.0,32/50,0,1,0
39,50.0,25/50,0,0,0
40,22.0,11/50,0,0,0
41,88.0,44/50,0,1,0
42,40.0,20/50,0,0,0
45,30.0,15/50,0,1,0
46,86.0,43/50,0,0,0
47,58.0,29/50,0,0,0
48,46.0,23/50,0,1,0
49,26.0,13/50,0,0,0
50,56.0,28/50,10,1,10
51,0.0,0/50,50,0,50
52,0.0,0/50,50,0,50
55,20.0,10/50,18,0,18
56,36.0,18/50,0,1,0
59,88.0,44/50,0,1,0
60,28.0,14/50,0,0,0
61,22.0,11/50,0,0,0
63,52.0,26/50,0,1,0
64,64.0,32/50,0,1,0
65,90.0,45/50,0,1,0
66,54.0,27/50,0,0,0
67,16.0,8/50,0,0,0
69,48.0,24/50,0,0,0
70,34.0,17/50,0,0,0
71,46.0,23/50,0,0,0
72,48.0,24/50,0,1,0
74,26.0,13/50,0,0,0
75,26.0,13/50,0,1,0
76,48.0,24/50,0,0,0
77,36.0,18/50,0,0,0
79,66.0,33/50,0,1,0
80,36.0,18/50,0,1,0
