instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total
1,52.24,3,67,35,3,35/67
10,43.28,3,67,29,3,29/67
11,52.24,3,67,35,3,35/67
12,52.24,3,67,35,3,35/67
13,50.75,3,67,34,3,34/67
14,46.27,3,67,31,3,31/67
15,47.76,3,67,32,3,32/67
16,52.24,3,67,35,3,35/67
17,58.21,3,67,39,3,39/67
18,47.76,3,67,32,3,32/67
19,50.75,2,67,34,2,34/67
2,53.73,3,67,36,3,36/67
20,52.24,2,67,35,2,35/67
21,49.25,2,67,33,2,33/67
22,53.73,2,67,36,2,36/67
23,53.73,3,67,36,2,36/67
24,49.25,3,67,33,2,33/67
25,37.31,2,67,25,2,25/67
26,53.73,3,67,36,2,36/67
27,44.78,3,67,30,2,30/67
28,55.22,2,67,37,2,37/67
29,35.82,2,67,24,2,24/67
3,47.76,3,67,32,3,32/67
30,56.72,2,67,38,2,38/67
31,43.28,2,67,29,2,29/67
32,50.75,2,67,34,2,34/67
33,53.73,2,67,36,2,36/67
34,46.27,2,67,31,2,31/67
35,41.79,2,67,28,2,28/67
36,56.72,2,67,38,2,38/67
37,50.75,2,67,34,2,34/67
38,47.76,2,67,32,2,32/67
39,47.76,2,67,32,2,32/67
4,55.22,3,67,37,3,37/67
40,40.3,2,67,27,2,27/67
41,37.31,3,67,25,3,25/67
42,47.76,3,67,32,3,32/67
43,52.24,3,67,35,3,35/67
44,49.25,3,67,33,3,33/67
45,47.76,4,67,32,3,32/67
46,44.78,3,67,30,3,30/67
47,56.72,3,67,38,3,38/67
48,43.28,3,67,29,3,29/67
49,55.22,3,67,37,3,37/67
5,59.7,3,67,40,3,40/67
50,46.27,3,67,31,3,31/67
6,53.73,3,67,36,3,36/67
7,65.67,3,67,44,3,44/67
8,53.73,4,67,36,3,36/67
9,52.24,3,67,35,3,35/67
