Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,100.0,30/30,0,1,0
2,80.0,24/30,0,0,0
3,60.0,18/30,1,1,0
4,90.0,27/30,0,1,0
6,100.0,30/30,0,1,0
8,100.0,30/30,0,1,0
9,30.0,9/30,0,1,0
10,80.0,24/30,0,1,0
11,80.0,24/30,0,1,0
12,100.0,30/30,0,1,0
13,60.0,18/30,2,1,0
14,80.0,24/30,0,1,0
15,73.33,22/30,0,1,0
16,96.67,29/30,0,1,0
17,96.67,29/30,0,1,0
18,23.33,7/30,0,0,0
19,96.67,29/30,0,1,0
20,70.0,21/30,0,1,0
21,66.67,20/30,0,0,0
22,23.33,7/30,0,0,0
23,90.0,27/30,0,1,0
24,36.67,11/30,1,1,0
25,96.67,29/30,0,1,0
26,86.67,26/30,0,1,0
27,66.67,20/30,1,1,0
28,90.0,27/30,0,1,0
29,86.67,26/30,0,1,0
30,30.0,9/30,0,0,0
31,96.67,29/30,0,1,0
32,96.67,29/30,0,1,0
34,76.67,23/30,0,1,0
35,66.67,20/30,0,0,0
36,96.67,29/30,0,1,0
37,40.0,12/30,0,0,0
38,93.33,28/30,0,1,0
39,90.0,27/30,0,1,0
40,36.67,11/30,0,0,0
41,100.0,30/30,0,1,0
42,96.67,29/30,0,1,0
45,40.0,12/30,0,0,0
46,100.0,30/30,0,1,0
47,86.67,26/30,0,1,0
48,83.33,25/30,0,1,0
49,56.67,17/30,1,1,0
50,73.33,22/30,0,1,0
51,53.33,16/30,0,0,0
52,56.67,17/30,0,1,0
55,50.0,15/30,0,1,0
56,33.33,10/30,0,0,0
59,96.67,29/30,0,1,0
60,20.0,6/30,0,0,0
61,26.67,8/30,0,0,0
63,26.67,8/30,1,1,0
64,96.67,29/30,0,1,0
65,100.0,30/30,0,1,0
66,83.33,25/30,0,0,0
67,30.0,9/30,0,0,0
69,93.33,28/30,0,0,0
70,30.0,9/30,0,1,0
71,60.0,18/30,0,0,0
72,70.0,21/30,0,1,0
74,20.0,6/30,0,1,0
75,73.33,22/30,0,1,0
76,90.0,27/30,0,1,0
77,40.0,12/30,0,1,0
79,90.0,27/30,0,1,0
80,100.0,30/30,0,1,0
