instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,71.64,1,67,48,0,48/67,75.68,71.43,71.43,60.0,50.0
10,53.73,2,67,36,0,36/67,48.65,71.43,57.14,60.0,25.0
2,53.73,2,67,36,0,36/67,51.35,71.43,42.86,60.0,25.0
3,56.72,2,67,38,0,38/67,48.65,64.29,85.71,60.0,50.0
4,62.69,1,67,42,0,42/67,56.76,85.71,42.86,80.0,50.0
5,59.7,1,67,40,0,40/67,56.76,64.29,71.43,60.0,50.0
6,58.21,2,67,39,0,39/67,54.05,71.43,42.86,80.0,50.0
7,62.69,0,67,42,0,42/67,59.46,78.57,42.86,100.0,25.0
8,67.16,0,67,45,0,45/67,56.76,85.71,100.0,60.0,50.0
9,52.24,0,67,35,0,35/67,40.54,71.43,71.43,80.0,25.0
