Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,100.0,10/10,0,1,0
2,40.0,4/10,0,0,0
3,30.0,3/10,0,0,0
4,80.0,8/10,1,1,0
6,100.0,10/10,0,1,0
8,90.0,9/10,0,1,0
9,30.0,3/10,0,1,0
10,90.0,9/10,0,1,0
11,80.0,8/10,0,1,0
12,100.0,10/10,0,1,0
13,80.0,8/10,1,1,0
14,20.0,2/10,0,0,0
15,50.0,5/10,0,1,0
16,90.0,9/10,0,1,0
17,70.0,7/10,1,1,0
18,0.0,0/10,1,0,0
19,100.0,10/10,0,1,0
20,100.0,10/10,0,1,0
21,40.0,4/10,0,0,0
22,30.0,3/10,2,1,0
23,50.0,5/10,0,1,0
24,20.0,2/10,0,1,0
25,90.0,9/10,0,1,0
26,80.0,8/10,0,1,0
27,60.0,6/10,0,1,0
28,70.0,7/10,0,0,0
29,100.0,10/10,0,1,0
30,30.0,3/10,0,1,0
31,100.0,10/10,0,1,0
32,90.0,9/10,0,1,0
34,60.0,6/10,0,1,0
35,70.0,7/10,0,0,0
36,80.0,8/10,0,1,0
37,10.0,1/10,0,0,0
38,60.0,6/10,0,1,0
39,30.0,3/10,0,1,0
40,90.0,9/10,0,1,0
41,100.0,10/10,0,1,0
42,80.0,8/10,0,0,0
45,50.0,5/10,0,1,0
46,100.0,10/10,0,1,0
47,90.0,9/10,0,1,0
48,30.0,3/10,0,1,0
49,30.0,3/10,0,1,0
50,100.0,10/10,0,1,0
51,60.0,6/10,0,1,0
52,30.0,3/10,1,0,0
55,50.0,5/10,0,0,0
56,40.0,4/10,2,1,0
59,100.0,10/10,0,1,0
60,30.0,3/10,0,0,0
61,10.0,1/10,0,0,0
63,30.0,3/10,0,1,0
64,50.0,5/10,0,0,0
65,100.0,10/10,0,1,0
66,60.0,6/10,0,1,0
67,10.0,1/10,0,0,0
69,30.0,3/10,0,0,0
70,50.0,5/10,0,0,0
71,60.0,6/10,0,1,0
72,70.0,7/10,1,1,0
74,10.0,1/10,1,0,0
75,40.0,4/10,0,1,0
76,60.0,6/10,0,1,0
77,40.0,4/10,0,1,0
79,80.0,8/10,0,1,0
80,10.0,1/10,0,0,0
