instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,59.7,8,67,40,0,40/67,51.35,71.43,57.14,80.0,75.0
10,61.19,8,67,41,0,41/67,51.35,92.86,42.86,80.0,50.0
2,59.7,7,67,40,0,40/67,54.05,71.43,42.86,100.0,50.0
3,52.24,10,67,35,0,35/67,45.95,71.43,42.86,60.0,50.0
4,64.18,12,67,43,0,43/67,51.35,78.57,71.43,80.0,100.0
5,58.21,8,67,39,0,39/67,45.95,85.71,71.43,80.0,25.0
6,50.75,11,67,34,0,34/67,40.54,71.43,57.14,80.0,25.0
7,56.72,8,67,38,0,38/67,48.65,85.71,28.57,80.0,50.0
8,52.24,13,67,35,0,35/67,51.35,64.29,57.14,40.0,25.0
9,52.24,13,67,35,0,35/67,40.54,78.57,57.14,80.0,25.0
