instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total
1,20.9,0,67,14,0,14/67
10,29.85,0,67,20,0,20/67
11,37.31,2,67,25,0,25/67
12,31.34,1,67,21,0,21/67
13,31.34,2,67,21,0,21/67
14,32.84,0,67,22,0,22/67
15,40.3,2,67,27,0,27/67
16,35.82,0,67,24,0,24/67
17,35.82,0,67,24,0,24/67
18,41.79,1,67,28,0,28/67
19,31.34,0,67,21,0,21/67
2,31.34,0,67,21,0,21/67
20,47.76,0,67,32,0,32/67
21,40.3,0,67,27,0,27/67
22,32.84,1,67,22,0,22/67
23,38.81,0,67,26,0,26/67
24,38.81,1,67,26,0,26/67
25,35.82,0,67,24,0,24/67
26,35.82,1,67,24,0,24/67
27,34.33,0,67,23,0,23/67
28,28.36,0,67,19,0,19/67
29,34.33,1,67,23,0,23/67
3,35.82,1,67,24,0,24/67
30,38.81,0,67,26,0,26/67
31,40.3,0,67,27,0,27/67
32,31.34,0,67,21,0,21/67
33,29.85,1,67,20,0,20/67
34,29.85,0,67,20,0,20/67
35,40.3,1,67,27,0,27/67
36,37.31,0,67,25,0,25/67
37,25.37,0,67,17,0,17/67
38,34.33,0,67,23,0,23/67
39,37.31,1,67,25,0,25/67
4,29.85,1,67,20,0,20/67
40,38.81,1,67,26,0,26/67
41,38.81,0,67,26,0,26/67
42,38.81,0,67,26,0,26/67
43,34.33,0,67,23,0,23/67
44,32.84,0,67,22,0,22/67
45,35.82,0,67,24,0,24/67
46,23.88,2,67,16,0,16/67
47,40.3,0,67,27,0,27/67
48,25.37,1,67,17,0,17/67
49,32.84,0,67,22,0,22/67
5,26.87,0,67,18,0,18/67
50,35.82,0,67,24,0,24/67
6,49.25,0,67,33,0,33/67
7,29.85,0,67,20,0,20/67
8,38.81,1,67,26,0,26/67
9,28.36,0,67,19,0,19/67
