instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,79.1,1,67,53,0,53/67,72.97,92.86,85.71,100.0,50.0
10,74.63,0,67,50,0,50/67,62.16,92.86,100.0,100.0,50.0
11,77.61,0,67,52,0,52/67,67.57,85.71,85.71,100.0,100.0
12,76.12,0,67,51,0,51/67,64.86,92.86,100.0,80.0,75.0
13,68.66,0,67,46,0,46/67,59.46,78.57,71.43,100.0,75.0
14,62.69,2,67,42,0,42/67,54.05,85.71,71.43,80.0,25.0
15,70.15,0,67,47,0,47/67,59.46,78.57,85.71,100.0,75.0
16,70.15,0,67,47,0,47/67,64.86,85.71,71.43,80.0,50.0
17,65.67,0,67,44,0,44/67,59.46,64.29,71.43,100.0,75.0
18,67.16,0,67,45,0,45/67,54.05,92.86,71.43,80.0,75.0
19,68.66,1,67,46,0,46/67,59.46,85.71,71.43,100.0,50.0
2,77.61,0,67,52,0,52/67,70.27,92.86,85.71,100.0,50.0
20,70.15,1,67,47,0,47/67,59.46,85.71,85.71,80.0,75.0
21,67.16,0,67,45,0,45/67,59.46,78.57,71.43,80.0,75.0
22,68.66,0,67,46,0,46/67,59.46,85.71,57.14,100.0,75.0
23,76.12,0,67,51,0,51/67,67.57,100.0,71.43,100.0,50.0
24,74.63,0,67,50,0,50/67,64.86,100.0,57.14,100.0,75.0
25,67.16,0,67,45,0,45/67,56.76,85.71,71.43,100.0,50.0
26,74.63,0,67,50,0,50/67,67.57,85.71,85.71,100.0,50.0
27,73.13,0,67,49,0,49/67,64.86,92.86,85.71,100.0,25.0
28,71.64,0,67,48,0,48/67,64.86,92.86,85.71,60.0,50.0
29,64.18,0,67,43,0,43/67,59.46,78.57,71.43,60.0,50.0
3,67.16,0,67,45,0,45/67,59.46,71.43,85.71,100.0,50.0
30,68.66,0,67,46,0,46/67,67.57,71.43,71.43,80.0,50.0
31,71.64,0,67,48,0,48/67,70.27,85.71,57.14,80.0,50.0
32,71.64,0,67,48,0,48/67,67.57,85.71,71.43,80.0,50.0
33,68.66,0,67,46,0,46/67,59.46,85.71,71.43,100.0,50.0
34,64.18,0,67,43,0,43/67,51.35,85.71,85.71,80.0,50.0
35,65.67,0,67,44,0,44/67,56.76,85.71,71.43,80.0,50.0
36,65.67,1,67,44,0,44/67,56.76,78.57,71.43,100.0,50.0
37,70.15,0,67,47,0,47/67,59.46,85.71,85.71,100.0,50.0
38,73.13,0,67,49,0,49/67,59.46,100.0,85.71,80.0,75.0
39,74.63,0,67,50,0,50/67,64.86,92.86,85.71,80.0,75.0
4,68.66,0,67,46,0,46/67,56.76,85.71,85.71,100.0,50.0
40,71.64,0,67,48,0,48/67,62.16,92.86,85.71,80.0,50.0
5,67.16,1,67,45,0,45/67,62.16,92.86,57.14,60.0,50.0
6,73.13,0,67,49,0,49/67,64.86,92.86,71.43,80.0,75.0
7,70.15,1,67,47,0,47/67,59.46,100.0,57.14,80.0,75.0
8,73.13,0,67,49,0,49/67,64.86,85.71,85.71,80.0,75.0
9,67.16,2,67,45,0,45/67,59.46,85.71,57.14,80.0,75.0
