Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,30.0,3/10,0,0,0
2,40.0,4/10,2,1,0
3,20.0,2/10,2,0,0
4,10.0,1/10,9,0,0
6,50.0,5/10,5,0,0
8,30.0,3/10,2,0,0
9,0.0,0/10,7,0,0
10,30.0,3/10,1,0,0
11,10.0,1/10,8,0,0
12,30.0,3/10,4,1,0
13,30.0,3/10,1,0,0
14,50.0,5/10,0,1,0
15,20.0,2/10,2,0,0
16,40.0,4/10,0,1,0
17,10.0,1/10,8,0,0
18,10.0,1/10,0,0,0
19,0.0,0/10,5,0,0
20,0.0,0/10,8,0,0
21,10.0,1/10,5,0,0
22,30.0,3/10,1,0,0
23,30.0,3/10,1,0,0
24,20.0,2/10,4,0,0
25,30.0,3/10,1,0,0
26,0.0,0/10,8,0,0
27,30.0,3/10,6,0,0
28,0.0,0/10,9,0,0
29,60.0,6/10,1,1,0
30,10.0,1/10,1,0,0
31,0.0,0/10,9,0,0
32,10.0,1/10,6,0,0
34,30.0,3/10,3,1,0
35,40.0,4/10,2,0,0
36,40.0,4/10,0,0,0
37,10.0,1/10,4,0,0
38,10.0,1/10,9,0,0
39,20.0,2/10,5,0,0
40,10.0,1/10,3,0,0
41,20.0,2/10,7,0,0
42,30.0,3/10,4,0,0
45,0.0,0/10,7,0,0
46,30.0,3/10,3,1,0
47,0.0,0/10,4,0,0
48,0.0,0/10,10,0,0
49,10.0,1/10,6,0,0
50,40.0,4/10,3,1,0
51,10.0,1/10,2,0,0
52,20.0,2/10,5,0,0
55,10.0,1/10,6,0,0
56,40.0,4/10,1,1,0
59,10.0,1/10,8,0,0
60,20.0,2/10,4,0,0
61,20.0,2/10,3,0,0
63,0.0,0/10,9,0,0
64,10.0,1/10,6,0,0
65,10.0,1/10,1,0,0
66,0.0,0/10,9,0,0
67,0.0,0/10,8,0,0
69,0.0,0/10,6,0,0
70,20.0,2/10,3,0,0
71,20.0,2/10,0,0,0
72,20.0,2/10,2,0,0
74,0.0,0/10,8,0,0
75,10.0,1/10,6,0,0
76,30.0,3/10,5,1,0
77,20.0,2/10,3,0,0
79,20.0,2/10,2,0,0
80,20.0,2/10,2,0,0
