instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,14.93,31,67,10,0,10/67,16.22,21.43,0.0,20.0,0.0
10,17.91,27,67,12,0,12/67,13.51,28.57,28.57,0.0,25.0
2,17.91,25,67,12,0,12/67,10.81,21.43,0.0,60.0,50.0
3,13.43,33,67,9,0,9/67,5.41,35.71,0.0,20.0,25.0
4,19.4,29,67,13,0,13/67,5.41,42.86,14.29,40.0,50.0
5,23.88,25,67,16,0,16/67,27.03,14.29,28.57,40.0,0.0
6,16.42,32,67,11,0,11/67,21.62,7.14,0.0,20.0,25.0
7,22.39,27,67,15,0,15/67,27.03,7.14,14.29,40.0,25.0
8,22.39,27,67,15,0,15/67,27.03,14.29,14.29,40.0,0.0
9,16.42,29,67,11,0,11/67,16.22,21.43,14.29,20.0,0.0
