instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,70.15,3,67,47,3,47/67,59.46,85.71,71.43,100.0,75.0
10,74.63,2,67,50,2,50/67,70.27,78.57,85.71,100.0,50.0
2,82.09,3,67,55,3,55/67,81.08,78.57,85.71,100.0,75.0
3,73.13,4,67,49,3,49/67,70.27,71.43,71.43,100.0,75.0
4,67.16,3,67,45,3,45/67,59.46,78.57,71.43,80.0,75.0
5,77.61,3,67,52,3,52/67,75.68,78.57,85.71,80.0,75.0
6,76.12,2,67,51,2,51/67,67.57,92.86,71.43,100.0,75.0
7,70.15,2,67,47,2,47/67,59.46,100.0,71.43,80.0,50.0
8,74.63,2,67,50,2,50/67,70.27,85.71,57.14,100.0,75.0
9,68.66,2,67,46,2,46/67,62.16,78.57,85.71,60.0,75.0
