instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,43.28,0,67,29,0,29/67,35.14,50.0,42.86,60.0,75.0
10,41.79,0,67,28,0,28/67,29.73,64.29,85.71,40.0,0.0
11,46.27,0,67,31,0,31/67,45.95,50.0,28.57,80.0,25.0
12,41.79,0,67,28,0,28/67,40.54,28.57,71.43,60.0,25.0
13,43.28,0,67,29,0,29/67,45.95,50.0,0.0,60.0,50.0
14,34.33,0,67,23,0,23/67,32.43,21.43,42.86,40.0,75.0
15,46.27,1,67,31,0,31/67,35.14,71.43,42.86,80.0,25.0
16,58.21,1,67,39,0,39/67,51.35,78.57,42.86,80.0,50.0
17,58.21,0,67,39,0,39/67,54.05,64.29,57.14,80.0,50.0
18,49.25,0,67,33,0,33/67,45.95,57.14,42.86,40.0,75.0
19,38.81,0,67,26,0,26/67,40.54,35.71,28.57,40.0,50.0
2,43.28,0,67,29,0,29/67,35.14,57.14,42.86,60.0,50.0
20,43.28,1,67,29,0,29/67,43.24,50.0,28.57,40.0,50.0
21,46.27,2,67,31,0,31/67,45.95,64.29,14.29,40.0,50.0
22,47.76,0,67,32,0,32/67,35.14,57.14,57.14,80.0,75.0
23,32.84,0,67,22,0,22/67,24.32,42.86,14.29,80.0,50.0
24,46.27,0,67,31,0,31/67,29.73,50.0,71.43,80.0,100.0
25,43.28,1,67,29,0,29/67,37.84,57.14,42.86,60.0,25.0
26,43.28,1,67,29,0,29/67,37.84,35.71,42.86,80.0,75.0
27,44.78,0,67,30,0,30/67,45.95,35.71,28.57,80.0,50.0
28,47.76,0,67,32,0,32/67,40.54,57.14,28.57,60.0,100.0
29,47.76,0,67,32,0,32/67,45.95,57.14,28.57,80.0,25.0
3,50.75,1,67,34,0,34/67,48.65,50.0,42.86,80.0,50.0
30,41.79,0,67,28,0,28/67,29.73,57.14,57.14,40.0,75.0
31,40.3,0,67,27,0,27/67,32.43,64.29,42.86,60.0,0.0
32,44.78,0,67,30,0,30/67,40.54,64.29,28.57,60.0,25.0
33,35.82,0,67,24,0,24/67,29.73,42.86,28.57,80.0,25.0
34,35.82,0,67,24,0,24/67,37.84,42.86,28.57,40.0,0.0
35,55.22,1,67,37,0,37/67,56.76,50.0,57.14,60.0,50.0
36,43.28,0,67,29,0,29/67,45.95,50.0,28.57,40.0,25.0
37,47.76,0,67,32,0,32/67,48.65,35.71,42.86,100.0,25.0
38,38.81,0,67,26,0,26/67,29.73,50.0,57.14,60.0,25.0
39,58.21,0,67,39,0,39/67,56.76,64.29,57.14,40.0,75.0
4,46.27,0,67,31,0,31/67,40.54,28.57,100.0,60.0,50.0
40,40.3,0,67,27,0,27/67,37.84,35.71,42.86,80.0,25.0
41,55.22,0,67,37,0,37/67,51.35,50.0,71.43,60.0,75.0
42,50.75,0,67,34,0,34/67,45.95,42.86,71.43,80.0,50.0
43,41.79,0,67,28,0,28/67,37.84,35.71,57.14,80.0,25.0
44,41.79,0,67,28,0,28/67,32.43,57.14,28.57,60.0,75.0
45,44.78,0,67,30,0,30/67,43.24,50.0,28.57,60.0,50.0
46,41.79,0,67,28,0,28/67,24.32,57.14,71.43,40.0,100.0
47,52.24,0,67,35,0,35/67,51.35,50.0,28.57,80.0,75.0
48,43.28,0,67,29,0,29/67,35.14,42.86,57.14,80.0,50.0
49,41.79,2,67,28,0,28/67,35.14,50.0,42.86,60.0,50.0
5,46.27,0,67,31,0,31/67,40.54,57.14,42.86,80.0,25.0
50,46.27,0,67,31,0,31/67,37.84,71.43,42.86,80.0,0.0
6,50.75,1,67,34,0,34/67,48.65,50.0,71.43,60.0,25.0
7,32.84,0,67,22,0,22/67,29.73,35.71,14.29,60.0,50.0
8,46.27,1,67,31,0,31/67,51.35,42.86,28.57,60.0,25.0
9,46.27,0,67,31,0,31/67,29.73,78.57,42.86,60.0,75.0
